run_id,started_at,finished_at,status,profesores_ok,profesores_err,investigadores_ok,investigadores_err
2026-02-13,2026-02-13T06:52:36+00:00,2026-02-13T07:09:21+00:00,ok,122,0,238,0
2026-05-09_061932,2026-05-09T06:19:32+00:00,2026-05-09T06:38:46+00:00,ok,117,0,121,121
2026-05-09_065349,2026-05-09T06:53:49+00:00,2026-05-09T07:01:24+00:00,ok,117,0,121,121
2026-05-09_073022,2026-05-09T07:30:22+00:00,2026-05-09T07:39:17+00:00,ok,117,0,121,121
2026-05-10_085535,2026-05-10T08:55:35+00:00,2026-05-10T09:03:15+00:00,ok,117,0,121,121
